Ticker,Profit_Weekly,Profit_General,Weeks_Simulated,Initial_Price,Initial_Investment,Profit_Weekly_Percentage,Profit_General_Percentage
V,183.32351684570312,161.86386108398432,25,258.1997985839844,2581.9979858398438,7.100064285529398,6.268938317213095
TRV,180.7476959228511,190.16748046875023,25,185.32366943359372,1853.2366943359373,9.753082079330277,10.261370339253517
SPG,179.1578369140625,254.04928588867188,25,139.9763946533203,1399.7639465332031,12.799146410206014,18.149437733260385
WTW,168.02197265624957,236.1828002929683,25,237.4859313964844,2374.859313964844,7.075028472980815,9.945128071551299
DVA,167.54994964599587,67.25997161865212,25,104.51000213623048,1045.100021362305,16.03195351843853,6.435744928124453
RTX,167.18836212158214,44.52251434326172,25,83.0009536743164,830.0095367431641,20.14294471574445,5.364096720859564
EMN,163.1155548095703,261.5596160888672,25,89.52359771728516,895.2359771728516,18.220397634675944,29.216834751756792
PKG,159.35250854492188,344.93896484375,25,161.77865600585938,1617.7865600585938,9.850032907873235,21.321660926102442
EMR,158.8369140625,236.3779754638672,25,96.59439086914062,965.9439086914062,16.44369953920836,24.471190649578777
FI,157.300048828125,65.79005432128906,25,132.58999633789062,1325.8999633789062,11.863643802151076,4.961916897081024
XYL,143.51832580566406,33.29405975341797,25,112.99392700195312,1129.9392700195312,12.70141941373392,2.9465353259952165
J,138.32933807373047,65.8086166381836,25,127.65377044677734,1276.5377044677734,10.836290819267582,5.155242685575133
MHK,136.60000610351557,41.33000183105467,25,102.63999938964844,1026.3999938964844,13.308652271610605,4.026695447858988
HIG,131.32005310058594,69.74633789062499,25,79.04788970947266,790.4788970947266,16.612720919335217,8.82330169052786
IRM,129.82574462890625,152.63308715820312,25,69.30301666259766,693.0301666259766,18.73305822471827,22.02401778573343
HSY,129.7795867919924,145.57011413574236,25,180.88079833984372,1808.8079833984373,7.174868088991901,8.047847835249007
STZ,129.59864807128906,176.25236511230514,25,237.1874847412109,2371.874847412109,5.463974973750861,7.430930232453433
SO,123.71521759033205,214.4352188110352,25,68.09922790527344,680.9922790527344,18.16690458846624,31.488641708143344
HPQ,120.65170860290527,-11.56110572814941,25,29.90900230407715,299.0900230407715,40.33959654563878,-3.8654267402872944
DIS,120.3500518798828,173.2100372314452,25,90.9499969482422,909.499969482422,13.232551502818804,19.044534694158983
CINF,118.6106414794922,91.07057189941403,25,101.85720825195312,1018.5720825195312,11.644796035062921,8.941004123551338
EW,117.95999908447266,35.52001953125,25,76.27999877929688,762.7999877929688,15.464079833793617,4.656531213905902
GM,117.01472854614258,69.49553680419922,25,35.92851638793945,359.28516387939453,32.56876161616912,19.342723772342463
EBAY,109.71768569946278,46.49087905883784,25,43.02993774414063,430.2993774414063,25.49798848231032,10.804310091098955
IP,108.15603256225586,262.80175399780273,25,35.70903778076172,357.0903778076172,30.288139721458705,73.59530537095218
CTLT,106.63003158569336,93.11000061035156,25,45.25,452.5,23.564647864241625,20.57679571499482
ROST,95.97845458984376,79.8804931640625,25,136.30984497070312,1363.0984497070312,7.041197545963923,5.860214512108873
CDW,95.69941711425838,232.27844238281293,25,227.55844116210935,2275.5844116210933,4.205487461837705,10.207419298383273
DUK,95.11810302734376,-16.246299743652344,25,94.69593811035156,946.9593811035156,10.044581100881036,-1.7156279422164995
AEP,95.0707778930664,50.3193359375,25,79.03594207763672,790.3594207763672,12.028803022260268,6.366639609112459
AME,93.75851440429688,136.17120361328125,25,164.37893676757812,1643.7893676757812,5.703803434187297,8.2839812868372
CARR,93.19062042236328,144.99909210205078,25,57.26144027709961,572.6144027709961,16.274585475215982,25.322292174344735
WMB,92.19348907470705,18.213706970214844,25,34.26581954956055,342.65819549560547,26.9053798469237,5.31541553934566
TROW,90.47618103027344,118.8466339111328,25,106.39995574951172,1063.9995574951172,8.503404009234153,11.169801065606007
JNPR,89.85812950134277,89.74796867370605,25,29.232879638671875,292.32879638671875,30.738719760769094,30.701035882547608
DD,89.00714874267578,121.28580474853516,25,75.73887634277344,757.3887634277344,11.751844368518721,16.013678919611742
PCAR,88.58391571044922,224.13459014892575,25,97.19551849365234,971.9551849365234,9.113991785149484,23.06017742613962
ABNB,88.42001342773438,215.4699859619141,25,138.72000122070312,1387.2000122070312,6.3739916846640154,15.532726648344095
